id,label,lifecycle,aliases,country,extant,founded,lineage,location,operational_status,owner_entity,owner_primary,region_id
distillery.dallas-dhu,Dallas Dhu,active,,GB,True,1983,original,Forres,planned,,,region.speyside
distillery.dalmore,Dalmore,active,The Dalmore,GB,True,1839,original,Alness,operational,Whyte & Mackay,Whyte & Mackay,region.highlands
distillery.dalmunach,Dalmunach,active,,GB,True,2015,original,Carron,operational,Chivas Brothers,Pernod Ricard,region.speyside
distillery.dalwhinnie,Dalwhinnie,active,,GB,True,1898,original,Dalwhinnie,operational,Diageo,Diageo,region.highlands
distillery.dean,Dean,deprecated,,GB,False,1922,original,Edinburgh,demolished,,,region.lowlands
distillery.deanston,Deanston,active,,GB,True,1965,original,Doune,operational,Distell,Distell,region.highlands
distillery.devanha,Devanha,deprecated,,GB,False,1915,original,Aberdeen,demolished,,,region.highlands
distillery.dornoch,Dornoch,active,,GB,True,2017,original,Dornoch,operational,Dornoch Distillery Company,Independent,region.highlands
distillery.drumcaldie,Drumcaldie,deprecated,,GB,False,1903,original,Fife,demolished,,,region.lowlands
distillery.drumore,Drumore,deprecated,,GB,False,1847,original,Campbeltown,demolished,,,region.campbeltown
distillery.dufftown,Dufftown,active,,GB,True,1895,original,Banffshire,operational,Diageo,Diageo,region.speyside
distillery.dunphail,Dunphail,active,,GB,True,2023,original,Edinkillie,operational,Bimber,Independent,region.speyside
distillery.eden-mill,Eden Mill,active,,GB,True,2012,original,Fife,operational,Paul Miller,Independent,region.lowlands
distillery.edinburgh,Edinburgh,deprecated,,GB,False,1925,original,Edinburgh,demolished,,,region.lowlands
distillery.edradour,Edradour,active,,GB,True,1825,original,Pitlochry,operational,Signatory Vintage Scotch Whisky Co,Independent,region.highlands
distillery.falkirk,Falkirk,active,,GB,True,2020,original,Falkirk,operational,Fiona Stewart,Independent,region.lowlands
distillery.fettercairn,Fettercairn,active,,GB,True,1824,original,Fettercairn,operational,Whyte & Mackay,Whyte & Mackay,region.highlands
distillery.finnieston,Finnieston,deprecated,,GB,False,1827,original,Glasgow,demolished,,,region.lowlands
distillery.fortrose,Fortrose,deprecated,,GB,False,1852,original,Fortrose,demolished,,,region.highlands
distillery.galloway,Galloway,active,,GB,True,2017,original,Galloway,operational,Sam Heughan,Independent,region.lowlands
distillery.glasgow,Glasgow,active,,GB,True,2015,original,Glasgow,operational,The Glasgow Distillery Company,Independent,region.lowlands
distillery.glen-albyn,Glen Albyn,deprecated,,GB,False,1983,original,Inverness,demolished,,,region.highlands
distillery.glen-elgin,Glen Elgin,active,,GB,True,1898,original,Fogwatt,operational,Diageo,Diageo,region.speyside
distillery.glen-flagler,Glen Flagler,active,,GB,True,1985,original,Airdrie,closed,,,region.lowlands
distillery.glen-garioch,Glen Garioch,active,,GB,True,1797,original,Oldmeldrum,operational,Suntory Global Spirits,Suntory Global Spirits,region.highlands
distillery.glen-grant,Glen Grant,active,,GB,True,1840,original,Rothes,operational,Campari,Independent,region.speyside
distillery.glen-keith,Glen Keith,active,,GB,True,1957,revived,Keith,operational,Chivas Brothers,Pernod Ricard,region.speyside
distillery.glen-mhor,Glen Mhor,deprecated,,GB,False,1983,original,Inverness,demolished,,,region.highlands
